,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Inoculation Date,2024-05-14 12:42:00,mw,17.03,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,,,,,,,Reactor,,,,,,,,,,,,,Waste,,,,,,,,,,,,,Media,,,,,,,,,,,
1,,,Consumption,,,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,Average (mol/L),St. dev,,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,Average (mol/L),St. dev,,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,Average (mol/L),St. dev,
2,,2024-07-12 10:30:00,-4,,,58.90833333333285,2024-07-12 10:30:00,20,11.6,11.6,11.6,,,232,0,0.013623018203170875,0,,58.90833333333285,2024-07-12 10:30:00,20,11.2,11.2,11.2,,,223.99999999999994,4.3511678576336586e-14,0.013153258954785668,2.5550016779997995e-18,,58.90833333333285,2024-07-12 10:30:00,20,11.4,11.4,11.4,,,228,0,0.013388138578978274,0,
3,,2024-07-29 09:36:00,348.95,,,75.8708333333343,2024-07-29 09:36:00,20,4.6,4.61,4.62,4.62,,92.25000000000001,0.19148542155127127,0.0054169113329418685,1.1244005963081108e-05,,82.85972222222335,2024-08-05 09:20:00,20,23.7,23.8,23.8,23.9,23.9,476.4,1.673320053068141,0.027974163241338813,9.825719630464714e-05,,82.85972222222335,2024-08-05 09:20:00,20,21.9,22.0,22.1,22.1,22.2,441.2,2.2803508501982868,0.025907222548443923,0.00013390198768046312,
4,,2024-08-05 09:20:00,-1,,,82.85972222222335,2024-08-05 09:20:00,20,24.4,24.4,24.5,24.6,24.6,490,2.0000000000000284,0.028772753963593658,0.00011743981209630231,,96.8569444444438,2024-08-12 09:22:00,20,26.0,26.0,26.0,26.0,,520,0,0.030534351145038167,0,,89.8611111111095,2024-08-12 09:22:00,20,24.4,24.4,24.5,24.5,,489,1.154700538379268,0.02871403405754551,6.780390712737921e-05,
5,,2024-08-12 09:22:00,-337.58000000000004,,,89.8611111111095,2024-08-12 09:22:00,20,24.0,24.1,24.2,24.2,,482.5,1.9148542155126664,0.028332354668232532,0.00011244005963080836,,103.88263888889196,2024-08-19 09:16:00,20,13.6,14.0,14.1,14.1,14.1,279.6,4.335896677735759,0.01641808573106283,0.0002546034455511309,,96.8569444444438,2024-08-19 09:16:00,20,7.2,7.23,7.26,7.27,7.27,144.92,0.60991802727907,0.008509688784497944,3.5814329258900174e-05,
6,,2024-08-19 09:16:00,-124.05000000000001,,,96.8569444444438,2024-08-19 09:16:00,20,13.5,13.5,13.5,13.6,13.6,270.8,1.0954451150103282,0.01590135055783911,6.432443423431169e-05,,111.8659722222219,2024-08-26 09:53:00,10,27.6,27.7,27.8,27.8,,277.25,0.9574271077563362,0.016280093951849678,5.622002981540436e-05,,103.88263888889196,2024-08-26 09:53:00,10,14.6,14.7,14.7,14.7,,146.75,0.4999999999999983,0.00861714621256606,2.935995302407506e-05,
7,,2024-08-26 09:53:00,-189.65,,,103.88263888889196,2024-08-26 09:53:00,10,32.7,32.8,32.9,32.9,,328.25,0.9574271077563208,0.019274809160305342,5.622002981540345e-05,,117.88263888889196,2024-09-03 09:29:00,10,15.1,15.2,15.3,15.2,15.3,152.2,0.8366600265340811,0.008937169700528479,4.91285981523242e-05,,111.8659722222219,2024-09-03 09:29:00,10,13.8,13.8,13.9,13.9,13.9,138.6,0.5477225575051641,0.008138578978273634,3.2162217117155846e-05,
8,,2024-09-03 09:29:00,2.3999999999999773,,,111.8659722222219,2024-09-03 09:29:00,10,14.5,14.5,14.5,14.5,14.5,145,0,0.008514386376981797,0,,124.47083333333285,2024-09-09 09:53:00,10,15.7,15.8,15.8,15.8,15.8,157.79999999999998,0.4472135954999643,0.00926600117439812,2.6260340311213406e-05,,117.88263888889196,2024-09-09 09:53:00,10,14.7,14.7,14.7,14.8,14.8,147.39999999999998,0.5477225575051738,0.008655314151497357,3.216221711715642e-05,
9,,2024-09-09 09:53:00,,,,117.88263888889196,2024-09-09 09:53:00,10,15.2,15.2,15.2,15.2,15.3,152.2,0.4472135954999643,0.008937169700528479,2.6260340311213406e-05,,131.47083333333285,2024-09-16 00:00:00,5,14.7,14.7,14.8,14.8,14.8,73.8,0.2738612787525869,0.004333529066353494,1.608110855857821e-05,,131.47083333333285,2024-09-23 00:00:00,5,32.0,32.0,32.1,32.1,32.1,160.29999999999998,0.2738612787525869,0.009412800939518495,1.608110855857821e-05,
