genome_id	scientific_name	domain	taxonomy	num_features	num_cdss	dna_size	gc_content	num_contigsAAP99.1	Bacteria	Bacteria	Bacteria	1741	1741	0	0.5893	1741
ADurb.Bin063-1.1	Bacteria	Bacteria	Bacteria	2612	2612	0	0.6126	2612
Abditibacterium.1	Bacteria	Bacteria	Bacteria	982	982	0	0.4829	982
Acetoanaerobium.1	Bacteria	Bacteria	Bacteria	2595	2595	0	0.3961	2595
Acetobacteraceae.1	Bacteria	Bacteria	Bacteria	5622	5622	0	0.7207	5622
Acetobacteraceae.2	Bacteria	Bacteria	Bacteria	919	919	0	0.5571	919
Acetobacterium.1	Bacteria	Bacteria	Bacteria	3320	3320	0	0.4258	3320
Acetobacterium.2	Bacteria	Bacteria	Bacteria	3320	3320	0	0.4328	3320
Acetomicrobium.1	Bacteria	Bacteria	Bacteria	1733	1733	0	0.5113	1733
Acholeplasma.1	Bacteria	Bacteria	Bacteria	748	748	0	0.3837	748
Acholeplasma.2	Bacteria	Bacteria	Bacteria	655	655	0	0.3913	655
Acholeplasma.3	Bacteria	Bacteria	Bacteria	1904	1904	0	0.3186	1904
Achromobacter.1	Bacteria	Bacteria	Bacteria	18009	18009	0	0.6553	18009
Achromobacter.2	Bacteria	Bacteria	Bacteria	5728	5728	0	0.6592	5728
Acidimicrobiia.1	Bacteria	Bacteria	Bacteria	7582	7582	0	0.7018	7582
Acidovorax.1	Bacteria	Bacteria	Bacteria	4276	4276	0	0.6254	4276
Acinetobacter.1	Bacteria	Bacteria	Bacteria	5535	5535	0	0.3785	5535
Acinetobacter.2	Bacteria	Bacteria	Bacteria	9845	9845	0	0.3954	9845
Acinetobacter.3	Bacteria	Bacteria	Bacteria	4538	4538	0	0.4138	4538
Acinetobacter.4	Bacteria	Bacteria	Bacteria	3549	3549	0	0.4143	3549
Acinetobacter.5	Bacteria	Bacteria	Bacteria	6655	6655	0	0.4065	6655
Acinetobacter.6	Bacteria	Bacteria	Bacteria	603	603	0	0.4611	603
Actinobacteria.1	Bacteria	Bacteria	Bacteria	8033	8033	0	0.7215	8033
Actinobacteria.2	Bacteria	Bacteria	Bacteria	7659	7659	0	0.6960	7659
Actinobacteria.3	Bacteria	Bacteria	Bacteria	16178	16178	0	0.7258	16178
Actinobacteriota.1	Bacteria	Bacteria	Bacteria	4243	4243	0	0.6730	4243
Actinomyces.1	Bacteria	Bacteria	Bacteria	2695	2695	0	0.7187	2695
Actinomyces.2	Bacteria	Bacteria	Bacteria	7582	7582	0	0.6001	7582
Actinomyces.3	Bacteria	Bacteria	Bacteria	2856	2856	0	0.6770	2856
Actinomyces.4	Bacteria	Bacteria	Bacteria	2345	2345	0	0.6403	2345
Actinomyces.5	Bacteria	Bacteria	Bacteria	1045	1045	0	0.5894	1045
Actinomycetospora.1	Bacteria	Bacteria	Bacteria	5017	5017	0	0.7411	5017
Actinotalea.1	Bacteria	Bacteria	Bacteria	6710	6710	0	0.7345	6710
Aeromonas.1	Bacteria	Bacteria	Bacteria	14152	14152	0	0.5981	14152
Aetherobacter.1	Bacteria	Bacteria	Bacteria	1647	1647	0	0.7180	1647
Afipia.1	Bacteria	Bacteria	Bacteria	11557	11557	0	0.6121	11557
Afipia.3	Bacteria	Bacteria	Bacteria	2296	2296	0	0.6417	2296
